member_id,architecture,seed,attribute,group,n_samples,n_patients,macro_roc_auc,macro_average_precision,macro_brier_score,macro_ece
resnet1d-seed2026,resnet1d,2026,age_band,40-59,639,551,0.92308275695572795,0.76871274481403218,0.069443390881964689,0.030836308739596374
resnet1d-seed2026,resnet1d,2026,age_band,60-79,914,804,0.91220131406272764,0.81653543669741424,0.095106340581252516,0.033649018425638978
resnet1d-seed2026,resnet1d,2026,age_band,80+,321,261,0.8852193605848715,0.7378462758358475,0.11452209467372769,0.057755425148252118
resnet1d-seed2026,resnet1d,2026,age_band,<40,284,266,0.9083138016233766,0.67197647115545966,0.048427171074585287,0.037586486535979298
resnet1d-seed2026,resnet1d,2026,sex,female,1048,925,0.91357439991312606,0.80171721974439836,0.090181390103709208,0.030503545743998023
resnet1d-seed2026,resnet1d,2026,sex,male,1110,952,0.9307956565461073,0.82396039896590756,0.078654355145587204,0.02658072716552453
resnet1d-seed2027,resnet1d,2027,age_band,40-59,639,551,0.9142865759376505,0.74532599139117639,0.073060421278975232,0.034527030826404584
resnet1d-seed2027,resnet1d,2027,age_band,60-79,914,804,0.9117252291592024,0.80967982747569089,0.095975340139451054,0.038319025238650495
resnet1d-seed2027,resnet1d,2027,age_band,80+,321,261,0.88284386367149992,0.74648595201566104,0.11515755772491096,0.074196218196190628
resnet1d-seed2027,resnet1d,2027,age_band,<40,284,266,0.92073574132762204,0.66208820777531019,0.047456471925417527,0.038481876715015476
resnet1d-seed2027,resnet1d,2027,sex,female,1048,925,0.91213579979323245,0.79592475207191637,0.091308679318753111,0.039090972812708437
resnet1d-seed2027,resnet1d,2027,sex,male,1110,952,0.92888069019323516,0.81640605215131645,0.080323232626292942,0.03205095692493564
resnet1d-seed2028,resnet1d,2028,age_band,40-59,639,551,0.91930552549159805,0.75077079406976788,0.07274873033072346,0.030436720038281788
resnet1d-seed2028,resnet1d,2028,age_band,60-79,914,804,0.91300969013429134,0.81598040227000512,0.09523855104006837,0.029974452138640251
resnet1d-seed2028,resnet1d,2028,age_band,80+,321,261,0.88080820928611736,0.74808096516591349,0.11558045185023014,0.059836096573397203
resnet1d-seed2028,resnet1d,2028,age_band,<40,284,266,0.91491747068868856,0.71197419349992985,0.046647442884354649,0.031259243630028473
resnet1d-seed2028,resnet1d,2028,sex,female,1048,925,0.91665347883482085,0.80777798295621772,0.089116686757407276,0.02967357260976039
resnet1d-seed2028,resnet1d,2028,sex,male,1110,952,0.92671967845414671,0.81348361204439001,0.081521968858804139,0.025714965873362177
ecg_transformer-seed2026,ecg_transformer,2026,age_band,40-59,639,551,0.88463146610693444,0.71397899365897299,0.084210042627549969,0.035249883660932221
ecg_transformer-seed2026,ecg_transformer,2026,age_band,60-79,914,804,0.8829548385750835,0.76120197010094715,0.11101266411676278,0.037435280597543627
ecg_transformer-seed2026,ecg_transformer,2026,age_band,80+,321,261,0.85715639291896495,0.70355496676293328,0.12438369352616334,0.068822489893901995
ecg_transformer-seed2026,ecg_transformer,2026,age_band,<40,284,266,0.87524686955921549,0.54724100519398444,0.061291213916379851,0.04255542361040543
ecg_transformer-seed2026,ecg_transformer,2026,sex,female,1048,925,0.8857978999908207,0.7473304312657616,0.1036845822783414,0.03512258019612418
ecg_transformer-seed2026,ecg_transformer,2026,sex,male,1110,952,0.90282988194493119,0.77653735770120147,0.093647045394751438,0.030084773117404474
ecg_transformer-seed2027,ecg_transformer,2027,age_band,40-59,639,551,0.89084644921908196,0.72855098268153495,0.077550181280391636,0.027613121177731948
ecg_transformer-seed2027,ecg_transformer,2027,age_band,60-79,914,804,0.88689230155747512,0.76005790060216449,0.10970900214488473,0.038083883623317979
ecg_transformer-seed2027,ecg_transformer,2027,age_band,80+,321,261,0.83417915023008915,0.66676943379895914,0.13805032500324232,0.07437695960288726
ecg_transformer-seed2027,ecg_transformer,2027,age_band,<40,284,266,0.89312786685530055,0.59272136549546039,0.055302073918199787,0.038356793423458678
ecg_transformer-seed2027,ecg_transformer,2027,sex,female,1048,925,0.88467158278075098,0.74467978126551326,0.10357478540368414,0.035931419083327171
ecg_transformer-seed2027,ecg_transformer,2027,sex,male,1110,952,0.90767908224525429,0.77538943534668558,0.091263209021931024,0.028637552030244113
ecg_transformer-seed2028,ecg_transformer,2028,age_band,40-59,639,551,0.89869651296603981,0.72414459420542543,0.079154810598728781,0.033815815765659576
ecg_transformer-seed2028,ecg_transformer,2028,age_band,60-79,914,804,0.88947225290939025,0.77929258678328384,0.10621519584672871,0.037715872874266511
ecg_transformer-seed2028,ecg_transformer,2028,age_band,80+,321,261,0.8470270334314165,0.69078615884466343,0.12896320507910597,0.072849976591562254
ecg_transformer-seed2028,ecg_transformer,2028,age_band,<40,284,266,0.90122380649838496,0.58621063639148419,0.053570821876157936,0.039617860910296877
ecg_transformer-seed2028,ecg_transformer,2028,sex,female,1048,925,0.89425571310276675,0.76698003769328571,0.098492887208094307,0.03104561431540806
ecg_transformer-seed2028,ecg_transformer,2028,sex,male,1110,952,0.90701078644324318,0.7801067142336896,0.091037269752825917,0.026999618462430614
